program_title,unique_users,content_count,device_name,country_code,product_type
Serena,15,15,pcdash,dk,svod
Football's Greatest,15,16,androiddash,se,svod
Modus,15,18,ios,se,svod
Child 44,15,15,chromecast,se,svod
Superoppusserne,15,17,ios,no,svod
Powers,15,19,androiddash,se,svod
Åsted Norge,14,14,ios,no,svod
The King of Queens,14,14,atv,no,svod
Formula 1 SE,14,14,ios,se,svod
Curious George,14,14,atv,se,svod
Nyhetssammanfattning,14,14,ios,se,svod
Dybvaaaaad,14,14,atv,dk,svod
Friends,14,14,ios,no,svod
Swan Princess: Royally Undercover,14,14,atv,se,svod
Ligue 1 Football Live,14,14,pcdash,se,svod
The Chronicles of Narnia: Prince Caspian,14,14,ios,dk,svod
Vekterne,14,19,pcdash,no,svod
150 Milligrams,14,14,ios,se,svod
Fotboll: Allsvenskan Fotbollsmåndag,14,14,ios,se,svod
Askeladden - I Dovregubbens hall,14,15,chromecast,dk,tvod
Brad's Status,14,14,pcdash,se,svod
Bulletproof Monk,14,14,ps4xdk,dk,svod
Grey's anatomy,14,14,ios,se,svod
Lailaland,14,15,pcdash,se,svod
EHF Men's Champions League Handball Live,13,14,ios,se,svod
NASCAR Live,13,13,pcdash,se,svod
Patriots Day,13,13,ios,no,svod
"Bastard Executioner, The",13,15,atv,se,svod
Hitler's World: The Post-War Plan,13,13,ios,se,svod
Superstore,13,13,ios,se,svod
24: Legacy,13,14,ios,se,svod
Formel 2 Live,13,14,androiddash,se,svod
God morgen Norge,13,16,pcdash,no,svod
The Expendables 3,13,13,ps4xdk,se,svod
Vänner,13,13,ios,se,svod
Beverly Hills 90210,13,13,ios,dk,svod
"Nyheder, sport, vejr",13,13,ios,dk,svod
The Shawshank Redemption,13,13,chromecast,se,svod
Politirazzia,13,16,samsung2014xdk,dk,svod
Then She Found Me,13,13,ios,se,svod
Ultra HD,13,13,pcdash,dk,svod
Botched,13,13,ios,se,svod
Far til fire - på Toppen,13,13,ios,dk,svod
Den Som Dræber,13,13,pcdash,dk,svod
Survivor,12,12,pcdash,se,svod
According to Jim,12,12,androiddash,se,svod
Krejlerkongen,12,12,ios,dk,svod
Unga mödrar,12,12,ios,se,svod
Familjen Thunderman,12,13,ios,se,svod
Min Hemlighet,12,17,chromecast,se,svod
Catastrophe,12,12,androiddash,se,svod
Modern family,12,12,ios,se,svod
Immortals,12,12,androiddash,se,svod
Tiger & morfar,12,12,ios,dk,svod
The Best Exotic Marigold Hotel,12,12,androiddash,se,svod
Min Fede Træner,12,13,ios,dk,svod
Myths & Monsters,12,12,pcdash,se,svod
Den Grimme ælling og mig,12,13,ios,dk,svod
Insurgent,12,12,pcdash,no,svod
Rekyl,12,13,atv,no,svod
Nemas problemas,12,12,ios,se,svod
Pawn stars,12,12,pcdash,se,svod
Masterchef Norge,12,14,pcdash,no,svod
The Killing of a Sacred Deer,12,12,pcdash,se,svod
Bandits,12,12,atv,se,svod
Norm of the North,12,12,androiddash,se,svod
Svenska dialektmysterier,12,12,ios,se,svod
Fem kvinnor,12,12,ios,se,svod
Unni Lindell,12,12,androiddash,se,svod
Aftenshowet,12,12,lg2016xdk,dk,svod
Power Rangers,12,12,androiddash,se,svod
The Karate Kid,11,11,pcdash,dk,svod
American Restoration,11,11,ios,se,svod
Murder Maps,11,12,atv,se,svod
Kyss mig,11,11,ios,dk,svod
Skyline,11,11,androiddash,no,svod
Sleepless,11,11,androiddash,dk,svod
The Hunger Games: Mockingjay - Part 1,11,11,pcdash,no,svod
2. Bundesliga live,11,11,pcdash,fi,svod
Beverly Hills Chihuahua,11,11,androiddash,fi,svod
Project Runway,11,11,ios,se,svod
Wahlgrens värld,11,11,ios,se,svod
Now You See Me,11,11,ios,dk,svod
Dagsrevyen,11,11,atv,no,svod
NCIS: New Orleans,11,11,ios,se,svod
Adam & Eva,11,11,ios,dk,svod
TMNT,11,11,ios,se,svod
Mellan raderna,11,11,ios,se,svod
Fifty Shades Freed - Extended Version,11,11,androiddash,dk,tvod
Banged Up Abroad,11,11,ios,se,svod
Elven,11,13,ios,se,svod
Bordertown,11,12,chromecast,dk,svod
Dinosaur,11,11,androiddash,se,svod
Rough Night,11,11,pcdash,se,svod
Endeavour,11,11,ios,dk,svod
Escape Plan 2: Hades,11,11,ps4xdk,dk,tvod
What Happened to Monday,11,11,pcdash,se,svod
Miller's Crossing,11,11,chromecast,no,svod
Lego DC Comics: Batman Be-leaguered,11,11,atv,se,svod
3 Things,11,11,pcdash,dk,svod
The Goldbergs,11,12,pcdash,fi,svod
UFC Top 10,10,10,atv,se,svod
Transporter 3,10,10,chromecast,fi,svod
It Comes at Night,10,10,ps4xdk,se,svod
Jakten på kjærligheten,10,10,ios,no,svod
Treasure Buddies,10,10,androiddash,dk,svod
The Big Sick,10,10,pcdash,se,svod
Oliver Twist,10,10,atv,dk,svod
Stitch! The Movie,10,10,atv,no,svod
Man on a Ledge,10,10,androiddash,dk,svod
Divergent,10,10,androiddash,dk,svod
Married...with Children,10,11,androiddash,se,svod
Bangkok Dangerous,10,10,samsung2017xdk,se,svod
The Medallion,10,10,atv,no,svod
MASTERCHEF DANMARK JUL,10,10,ps4xdk,dk,svod
Drinking Buddies,10,10,pcdash,se,svod
Skönhetsfällan,10,11,pcdash,se,svod
The 2016 Ryder Cup Official Film,10,10,pcdash,se,svod
CSI,10,10,ios,se,svod
The Pacifier,10,10,pcdash,se,svod
War,10,10,pcdash,se,svod
Ligue 1 SE,10,10,ios,se,svod
The Pirates! In an Adventure with Scientists!,10,10,androiddash,dk,svod
Wheeler Dealers,10,10,ios,se,svod
Everybody Loves Raymond,10,10,ios,se,svod
Latinamerikas farliga gränser,10,10,androiddash,se,svod
Baby Driver,10,10,pcdash,dk,svod
Border Security: Australia's Front Line,9,9,ios,dk,svod
Beverly Hills Chihuahua 2,9,9,atv,se,svod
Apocalypto,9,9,androiddash,se,svod
Dit efterårsvejr,9,9,atv,dk,svod
SOS västkust,9,9,ios,se,svod
102 Dalmatians,9,9,atv,se,svod
Personal Effects,9,9,ios,se,svod
Time Team,9,9,ios,se,svod
Moulin Rouge!,9,9,atv,se,svod
Horisont,9,9,ios,dk,svod
Frozen,9,9,lg2017xdk,dk,est
Son of Zorn,9,11,pcdash,fi,svod
Familien Nielsen,9,10,ios,dk,svod
Naked Attraction,9,9,ios,dk,svod
Världens Barn – uppdraget,9,9,ios,se,svod
Hannibal og Jerry,9,9,ios,dk,svod
We love the: 10's,9,9,androiddash,se,svod
Fråga doktorn,9,9,ios,se,svod
House Hunters International,9,9,ios,se,svod
NHL Global Series: SC Bern-New Jersey Devils,9,9,ios,se,svod
Aussie Gold Hunters,9,9,ios,se,svod
Making History,9,10,ios,se,svod
Stargate SG-1,9,9,ios,se,svod
Ex On The Beach Sverige,9,9,ios,se,svod
A Good Woman,9,9,androiddash,se,svod
Layer Cake,9,9,ios,dk,svod
Tempelriddernes skat,9,10,androiddash,dk,svod
Sunes familie,9,9,ios,dk,svod
Grand Designs Australien,9,9,ios,se,svod
Keeping Up Appearances,9,9,ios,dk,svod
Fireplace,9,9,androiddash,se,svod
Kill 'Em All,9,9,pcdash,se,svod
LEGO Elves,9,10,ios,fi,svod
Rescue Dawn,9,9,samsung2017xdk,se,svod
The Royal,8,8,ios,dk,svod
The Rebound,8,8,ios,dk,svod
Lingonligan,8,9,pchls,se,svod
Swing Vote,8,8,pcdash,no,svod
Upp i det blå,8,8,androiddash,se,svod
Hunting Nazi Treasure,8,8,pcdash,se,svod
Teen mom 2,8,8,ios,se,svod
Bunkd,8,8,ios,se,svod
Unlocked,8,8,pcdash,se,svod
Jamie's 30 Minute Meals,8,8,ios,se,svod
Limitless,8,8,androiddash,dk,svod
Lego Friends,8,8,atv,se,svod
Pappaliv,8,10,samsung2017xdk,se,svod
Et Ton Cash,8,14,pcdash,dk,svod
20th Century Women,8,8,ios,dk,svod
Paw patrol,8,8,ios,se,svod
